t	V	DV/V0 in %
1.88	32.5076	-9.70119
1.89	32.5499	-9.58357
1.9	32.5935	-9.46255
1.91	32.6381	-9.33855
1.92	32.6837	-9.21197
1.93	32.73	-9.08321
1.94	32.777	-8.95268
1.95	32.8245	-8.82081
1.96	32.8723	-8.68801
1.97	32.9203	-8.55469
1.98	32.9683	-8.42126
1.99	33.0163	-8.28814
2	33.0639	-8.15572
2.01	33.1112	-8.0244
2.02	33.158	-7.89458
2.03	33.204	-7.76662
2.04	33.2493	-7.64092
2.05	33.2936	-7.51782
2.06	33.3368	-7.39767
2.07	33.3789	-7.28082
2.08	33.4197	-7.16758
2.09	33.459	-7.05825
2.1	33.4969	-6.95314
2.11	33.5331	-6.85252
2.12	33.5676	-6.75665
2.13	33.6003	-6.66576
2.14	33.6312	-6.58007
2.15	33.6601	-6.4998
2.16	33.687	-6.42513
2.17	33.7118	-6.35622
2.18	33.7344	-6.29322
2.19	33.755	-6.23625
2.2	33.7733	-6.18542
2.21	33.7893	-6.14081
2.22	33.8031	-6.10249
2.23	33.8146	-6.07051
2.24	33.8238	-6.04489
2.25	33.8308	-6.02563
2.26	33.8354	-6.01272
2.27	33.8378	-6.00614
2.28	33.8379	-6.00582
2.29	33.8358	-6.0117
2.3	33.8315	-6.02369
2.31	33.825	-6.04168
2.32	33.8164	-6.06556
2.33	33.8057	-6.09518
2.34	33.7931	-6.13038
2.35	33.7784	-6.17101
2.36	33.7619	-6.21686
2.37	33.7436	-6.26776
2.38	33.7236	-6.32347
2.39	33.7018	-6.38379
2.4	33.6786	-6.44847
2.41	33.6538	-6.51727
2.42	33.6276	-6.58994
2.43	33.6002	-6.66619
2.44	33.5715	-6.74577
2.45	33.5418	-6.82839
2.46	33.511	-6.91377
2.47	33.4794	-7.0016
2.48	33.447	-7.09159
2.49	33.414	-7.18344
2.5	33.3803	-7.27685
2.51	33.3463	-7.37151
2.52	33.3118	-7.4671
2.53	33.2772	-7.56334
2.54	33.2424	-7.6599
2.55	33.2077	-7.75649
2.56	33.173	-7.85281
2.57	33.1385	-7.94857
2.58	33.1044	-8.04347
2.59	33.0706	-8.13723
2.6	33.0374	-8.22957
2.61	33.0047	-8.32022
2.62	32.9728	-8.40892
2.63	32.9416	-8.49542
2.64	32.9114	-8.57948
2.65	32.8821	-8.66086
2.66	32.8538	-8.73934
2.67	32.8267	-8.81471
2.68	32.8008	-8.88677
2.69	32.7761	-8.95534
2.7	32.7527	-9.02024
2.71	32.7307	-9.08132
2.72	32.7102	-9.13844
2.73	32.6911	-9.19145
2.74	32.6735	-9.24024
2.75	32.6575	-9.28472
2.76	32.6431	-9.32479
2.77	32.6303	-9.36038
2.78	32.6191	-9.39144
2.79	32.6096	-9.41791
2.8	32.6017	-9.43978
2.81	32.5955	-9.45703
2.82	32.5909	-9.46965
2.83	32.588	-9.47767
2.84	32.5868	-9.48112
2.85	32.5872	-9.48003
2.86	32.5892	-9.47446
2.87	32.5928	-9.46449
2.88	32.5979	-9.4502
2.89	32.6046	-9.43167
2.9	32.6127	-9.40903
2.91	32.6223	-9.38238
2.92	32.6333	-9.35187
2.93	32.6457	-9.31761
2.94	32.6593	-9.27978
2.95	32.6741	-9.23852
2.96	32.6902	-9.19401
2.97	32.7073	-9.14642
2.98	32.7255	-9.09594
2.99	32.7446	-9.04275
3	32.7647	-8.98706
3.01	32.7855	-8.92906
3.02	32.8072	-8.86896
3.03	32.8295	-8.80698
3.04	32.8524	-8.74332
3.05	32.8758	-8.6782
3.06	32.8997	-8.61185
3.07	32.924	-8.54448
3.08	32.9485	-8.47631
3.09	32.9733	-8.40756
3.1	32.9982	-8.33845
3.11	33.0231	-8.2692
3.12	33.048	-8.20002
3.13	33.0728	-8.13113
3.14	33.0974	-8.06273
3.15	33.1218	-7.99503
3.16	33.1458	-7.92822
3.17	33.1695	-7.86251
3.18	33.1927	-7.79807
3.19	33.2154	-7.7351
3.2	33.2374	-7.67376
3.21	33.2589	-7.61422
3.22	33.2796	-7.55665
3.23	33.2996	-7.50119
3.24	33.3187	-7.448
3.25	33.337	-7.39719
3.26	33.3544	-7.3489
3.27	33.3708	-7.30325
3.28	33.3863	-7.26034
3.29	33.4007	-7.22026
3.3	33.4141	-7.18311
3.31	33.4264	-7.14895
3.32	33.4376	-7.11787
3.33	33.4476	-7.0899
3.34	33.4566	-7.0651
3.35	33.4643	-7.04351
3.36	33.4709	-7.02514
3.37	33.4764	-7.01002
3.38	33.4807	-6.99815
3.39	33.4838	-6.98953
3.4	33.4857	-6.98413
3.41	33.4865	-6.98195
3.42	33.4861	-6.98294
3.43	33.4847	-6.98707
3.44	33.4821	-6.99428
3.45	33.4784	-7.00451
3.46	33.4736	-7.0177
3.47	33.4678	-7.03377
3.48	33.461	-7.05264
3.49	33.4533	-7.07422
3.5	33.4446	-7.09841
3.51	33.435	-7.1251
3.52	33.4245	-7.15419
3.53	33.4132	-7.18556
3.54	33.4011	-7.21909
3.55	33.3883	-7.25466
3.56	33.3748	-7.29213
3.57	33.3607	-7.33137
3.58	33.346	-7.37223
3.59	33.3307	-7.41459
3.6	33.315	-7.45829
3.61	33.2989	-7.50319
3.62	33.2823	-7.54915
3.63	33.2654	-7.596
3.64	33.2483	-7.6436
3.65	33.231	-7.6918
3.66	33.2134	-7.74045
3.67	33.1958	-7.78939
3.68	33.1781	-7.83848
3.69	33.1605	-7.88757
3.7	33.1429	-7.93651
3.71	33.1253	-7.98515
3.72	33.108	-8.03336
3.73	33.0908	-8.08098
3.74	33.074	-8.12789
3.75	33.0574	-8.17395
3.76	33.0411	-8.21904
3.77	33.0253	-8.26302
3.78	33.0099	-8.30577
3.79	32.995	-8.34719
3.8	32.9806	-8.38716
3.81	32.9668	-8.42557
3.82	32.9536	-8.46233
3.83	32.941	-8.49734
3.84	32.929	-8.53051
3.85	32.9178	-8.56177
3.86	32.9072	-8.59105
3.87	32.8974	-8.61826
3.88	32.8884	-8.64336
3.89	32.8801	-8.66628
3.9	32.8727	-8.68699
3.91	32.866	-8.70545
3.92	32.8602	-8.72161
3.93	32.8552	-8.73546
3.94	32.8511	-8.74698
3.95	32.8478	-8.75616
3.96	32.8453	-8.763
3.97	32.8437	-8.76749
3.98	32.8429	-8.76966
3.99	32.843	-8.76952
4	32.8438	-8.7671
4.01	32.8455	-8.76242
4.02	32.848	-8.75554
4.03	32.8513	-8.74648
4.04	32.8553	-8.73531
4.05	32.86	-8.72209
4.06	32.8655	-8.70686
4.07	32.8717	-8.68972
4.08	32.8785	-8.67072
4.09	32.886	-8.64995
4.1	32.8941	-8.62749
4.11	32.9028	-8.60343
4.12	32.912	-8.57787
