t	V	DV/V0 in %
1.88	35.65	-0.972343
1.89	35.6487	-0.975965
1.9	35.6478	-0.978266
1.91	35.6475	-0.979247
1.92	35.6476	-0.97892
1.93	35.6482	-0.97731
1.94	35.6492	-0.97445
1.95	35.6507	-0.970384
1.96	35.6525	-0.965164
1.97	35.6548	-0.95885
1.98	35.6575	-0.951508
1.99	35.6604	-0.943213
2	35.6637	-0.934044
2.01	35.6673	-0.924089
2.02	35.6712	-0.913438
2.03	35.6752	-0.902186
2.04	35.6794	-0.890431
2.05	35.6838	-0.878272
2.06	35.6883	-0.865806
2.07	35.6929	-0.853129
2.08	35.6975	-0.840331
2.09	35.7021	-0.827495
2.1	35.7067	-0.814696
2.11	35.7113	-0.802003
2.12	35.7158	-0.789474
2.13	35.7202	-0.777158
2.14	35.7246	-0.765098
2.15	35.7288	-0.753329
2.16	35.7329	-0.741884
2.17	35.7369	-0.730793
2.18	35.7408	-0.720083
2.19	35.7445	-0.709788
2.2	35.748	-0.699941
2.21	35.7514	-0.690584
2.22	35.7546	-0.681762
2.23	35.7575	-0.673528
2.24	35.7603	-0.665938
2.25	35.7627	-0.659053
2.26	35.7649	-0.652935
2.27	35.7668	-0.647646
2.28	35.7684	-0.643243
2.29	35.7697	-0.639778
2.3	35.7706	-0.637295
2.31	35.7711	-0.635824
2.32	35.7713	-0.635385
2.33	35.771	-0.635983
2.34	35.7705	-0.63761
2.35	35.7695	-0.640242
2.36	35.7682	-0.643845
2.37	35.7666	-0.648373
2.38	35.7646	-0.653773
2.39	35.7624	-0.659984
2.4	35.7599	-0.666942
2.41	35.7572	-0.674581
2.42	35.7542	-0.682836
2.43	35.751	-0.691643
2.44	35.7477	-0.700941
2.45	35.7442	-0.71067
2.46	35.7405	-0.720775
2.47	35.7368	-0.731202
2.48	35.7329	-0.741895
2.49	35.729	-0.752803
2.5	35.725	-0.76387
2.51	35.721	-0.77504
2.52	35.7169	-0.786253
2.53	35.7129	-0.797446
2.54	35.7089	-0.808554
2.55	35.705	-0.819511
2.56	35.7011	-0.830244
2.57	35.6974	-0.840686
2.58	35.6937	-0.850764
2.59	35.6903	-0.86041
2.6	35.687	-0.869556
2.61	35.6839	-0.878141
2.62	35.681	-0.886102
2.63	35.6784	-0.893387
2.64	35.676	-0.899945
2.65	35.6739	-0.905732
2.66	35.6721	-0.910709
2.67	35.6707	-0.914845
2.68	35.6695	-0.918116
2.69	35.6686	-0.920503
2.7	35.6681	-0.921998
2.71	35.6679	-0.922601
2.72	35.668	-0.922321
2.73	35.6684	-0.921178
2.74	35.6691	-0.919201
2.75	35.6701	-0.916432
2.76	35.6713	-0.912921
2.77	35.6729	-0.90873
2.78	35.6746	-0.90393
2.79	35.6765	-0.898596
2.8	35.6786	-0.892813
2.81	35.6808	-0.886665
2.82	35.6831	-0.880242
2.83	35.6855	-0.873629
2.84	35.6879	-0.866908
2.85	35.6903	-0.860159
2.86	35.6928	-0.853453
2.87	35.6951	-0.846852
2.88	35.6975	-0.840411
2.89	35.6997	-0.834179
2.9	35.7019	-0.828192
2.91	35.7039	-0.822483
2.92	35.7059	-0.817076
2.93	35.7077	-0.81199
2.94	35.7094	-0.807242
2.95	35.711	-0.802845
2.96	35.7124	-0.79881
2.97	35.7137	-0.795149
2.98	35.7149	-0.791871
2.99	35.716	-0.788986
3	35.7169	-0.786504
3.01	35.7176	-0.784434
3.02	35.7182	-0.782784
3.03	35.7186	-0.781561
3.04	35.7189	-0.780767
3.05	35.7191	-0.780403
3.06	35.719	-0.780466
3.07	35.7189	-0.780949
3.08	35.7185	-0.781841
3.09	35.7181	-0.783126
3.1	35.7175	-0.784786
3.11	35.7168	-0.786799
3.12	35.7159	-0.789137
3.13	35.715	-0.791774
3.14	35.7139	-0.794678
3.15	35.7128	-0.797819
3.16	35.7116	-0.801163
3.17	35.7103	-0.804677
3.18	35.709	-0.80833
3.19	35.7076	-0.81209
3.2	35.7063	-0.815926
3.21	35.7049	-0.81981
3.22	35.7035	-0.823715
3.23	35.7021	-0.827616
3.24	35.7007	-0.831494
3.25	35.6993	-0.835329
3.26	35.6979	-0.839106
3.27	35.6966	-0.842814
3.28	35.6953	-0.846442
3.29	35.694	-0.849985
3.3	35.6928	-0.853439
3.31	35.6916	-0.856801
3.32	35.6904	-0.860069
3.33	35.6892	-0.863244
3.34	35.6881	-0.866323
3.35	35.6871	-0.869305
3.36	35.686	-0.872186
3.37	35.685	-0.87496
3.38	35.6841	-0.877617
3.39	35.6831	-0.880146
3.4	35.6823	-0.882532
3.41	35.6815	-0.884759
3.42	35.6808	-0.886807
3.43	35.6801	-0.888656
3.44	35.6795	-0.890284
3.45	35.679	-0.891668
3.46	35.6786	-0.892789
3.47	35.6783	-0.893627
3.48	35.6781	-0.894165
3.49	35.678	-0.894388
3.5	35.6781	-0.894287
3.51	35.6782	-0.893853
3.52	35.6785	-0.893084
3.53	35.6789	-0.89198
3.54	35.6794	-0.890543
3.55	35.68	-0.888782
3.56	35.6808	-0.886707
3.57	35.6816	-0.884328
3.58	35.6826	-0.881661
3.59	35.6837	-0.878722
3.6	35.6848	-0.875527
3.61	35.686	-0.872094
3.62	35.6874	-0.868443
3.63	35.6887	-0.864592
3.64	35.6902	-0.860561
3.65	35.6917	-0.856371
3.66	35.6933	-0.852042
3.67	35.6949	-0.847594
3.68	35.6965	-0.843049
3.69	35.6982	-0.838428
3.7	35.6998	-0.833754
3.71	35.7015	-0.829049
3.72	35.7032	-0.824335
3.73	35.7049	-0.819636
3.74	35.7066	-0.814974
3.75	35.7083	-0.810372
3.76	35.7099	-0.805855
3.77	35.7115	-0.801446
3.78	35.713	-0.797167
3.79	35.7145	-0.793043
3.8	35.7159	-0.789096
3.81	35.7173	-0.785349
3.82	35.7185	-0.781822
3.83	35.7197	-0.778538
3.84	35.7208	-0.775515
3.85	35.7218	-0.772771
3.86	35.7227	-0.770324
3.87	35.7235	-0.768187
3.88	35.7241	-0.766372
3.89	35.7246	-0.764886
3.9	35.7251	-0.763737
3.91	35.7253	-0.762925
3.92	35.7255	-0.762449
3.93	35.7256	-0.762304
3.94	35.7255	-0.76248
3.95	35.7253	-0.762966
3.96	35.7251	-0.763745
3.97	35.7247	-0.764798
3.98	35.7242	-0.766104
3.99	35.7237	-0.76764
4	35.723	-0.769381
4.01	35.7223	-0.7713
4.02	35.7216	-0.773372
4.03	35.7208	-0.77557
4.04	35.72	-0.777868
4.05	35.7191	-0.780239
4.06	35.7182	-0.782659
4.07	35.7174	-0.785105
4.08	35.7165	-0.787554
4.09	35.7156	-0.789983
4.1	35.7147	-0.792374
4.11	35.7139	-0.794706
4.12	35.7131	-0.796963
4.13	35.7123	-0.799125
4.14	35.7116	-0.801179
4.15	35.7109	-0.803108
4.16	35.7102	-0.804899
4.17	35.7096	-0.806539
4.18	35.7091	-0.808016
4.19	35.7086	-0.809321
4.2	35.7082	-0.810443
4.21	35.7079	-0.811376
4.22	35.7076	-0.812113
4.23	35.7074	-0.81265
4.24	35.7073	-0.812984
4.25	35.7073	-0.813114
4.26	35.7073	-0.813042
4.27	35.7074	-0.812769
4.28	35.7076	-0.812299
4.29	35.7078	-0.811639
4.3	35.7081	-0.810795
4.31	35.7085	-0.809778
4.32	35.7089	-0.808596
4.33	35.7094	-0.807262
4.34	35.7099	-0.805788
4.35	35.7105	-0.804188
4.36	35.7111	-0.802478
4.37	35.7118	-0.800672
4.38	35.7124	-0.798788
4.39	35.7131	-0.79684
4.4	35.7139	-0.794847
4.41	35.7146	-0.792825
4.42	35.7153	-0.790789
4.43	35.716	-0.788757
4.44	35.7168	-0.786742
4.45	35.7175	-0.78476
4.46	35.7182	-0.782823
4.47	35.7189	-0.780944
4.48	35.7195	-0.779134
4.49	35.7201	-0.777402
4.5	35.7207	-0.775757
4.51	35.7213	-0.774207
4.52	35.7218	-0.772759
4.53	35.7223	-0.771417
4.54	35.7227	-0.770187
4.55	35.7231	-0.769074
4.56	35.7235	-0.768081
4.57	35.7238	-0.767213
4.58	35.7241	-0.766473
4.59	35.7243	-0.765864
4.6	35.7245	-0.76539
4.61	35.7246	-0.765053
4.62	35.7247	-0.764858
4.63	35.7247	-0.764807
4.64	35.7246	-0.764902
4.65	35.7245	-0.765147
4.66	35.7244	-0.765543
4.67	35.7242	-0.766092
4.68	35.724	-0.766794
4.69	35.7236	-0.767651
4.7	35.7233	-0.768662
4.71	35.7229	-0.769826
4.72	35.7224	-0.771141
4.73	35.7219	-0.772604
4.74	35.7213	-0.774212
4.75	35.7207	-0.77596
4.76	35.72	-0.777843
4.77	35.7193	-0.779854
4.78	35.7185	-0.781988
4.79	35.7177	-0.784235
4.8	35.7168	-0.786586
4.81	35.7159	-0.789034
4.82	35.715	-0.791566
4.83	35.7141	-0.794173
4.84	35.7131	-0.796843
4.85	35.7122	-0.799565
4.86	35.7112	-0.802325
4.87	35.7102	-0.805111
4.88	35.7092	-0.807912
4.89	35.7081	-0.810713
4.9	35.7071	-0.813502
4.91	35.7061	-0.816267
4.92	35.7052	-0.818995
4.93	35.7042	-0.821674
4.94	35.7033	-0.824292
4.95	35.7023	-0.826838
4.96	35.7015	-0.829301
4.97	35.7006	-0.83167
4.98	35.6998	-0.833934
4.99	35.699	-0.836085
5	35.6983	-0.838114
5.01	35.6976	-0.840012
5.02	35.697	-0.841771
5.03	35.6964	-0.843385
5.04	35.6959	-0.844847
5.05	35.6954	-0.846152
5.06	35.695	-0.847295
5.07	35.6946	-0.848275
5.08	35.6943	-0.849088
5.09	35.6941	-0.849735
5.1	35.6939	-0.850215
5.11	35.6938	-0.850531
5.12	35.6938	-0.850686
5.13	35.6938	-0.850685
5.14	35.6938	-0.850533
5.15	35.6939	-0.85024
5.16	35.6941	-0.849812
5.17	35.6943	-0.849261
5.18	35.6945	-0.848597
5.19	35.6948	-0.847831
5.2	35.6951	-0.846976
5.21	35.6954	-0.846046
5.22	35.6958	-0.845053
5.23	35.6962	-0.844011
5.24	35.6965	-0.842934
5.25	35.6969	-0.841835
5.26	35.6973	-0.840728
5.27	35.6977	-0.839626
5.28	35.6981	-0.83854
5.29	35.6985	-0.837482
5.3	35.6989	-0.836464
5.31	35.6992	-0.835496
5.32	35.6995	-0.834586
5.33	35.6999	-0.833743
5.34	35.7001	-0.832974
5.35	35.7004	-0.832285
5.36	35.7006	-0.831681
5.37	35.7008	-0.831167
5.38	35.7009	-0.830744
5.39	35.7011	-0.830416
5.4	35.7011	-0.830183
5.41	35.7012	-0.830046
5.42	35.7012	-0.830003
5.43	35.7012	-0.830052
5.44	35.7011	-0.830192
5.45	35.701	-0.83042
5.46	35.7009	-0.830731
5.47	35.7008	-0.83112
5.48	35.7006	-0.831583
5.49	35.7004	-0.832114
5.5	35.7002	-0.832707
5.51	35.7	-0.833354
5.52	35.6997	-0.834049
5.53	35.6995	-0.834784
5.54	35.6992	-0.835551
5.55	35.6989	-0.836342
5.56	35.6986	-0.837148
5.57	35.6983	-0.837961
5.58	35.698	-0.838773
5.59	35.6978	-0.839573
5.6	35.6975	-0.840355
5.61	35.6972	-0.84111
5.62	35.6969	-0.84183
5.63	35.6967	-0.842507
5.64	35.6965	-0.843135
5.65	35.6963	-0.843707
5.66	35.6961	-0.844216
5.67	35.6959	-0.844659
5.68	35.6958	-0.84503
5.69	35.6957	-0.845326
5.7	35.6956	-0.845544
5.71	35.6956	-0.84568
5.72	35.6955	-0.845735
5.73	35.6955	-0.845705
5.74	35.6956	-0.845592
5.75	35.6957	-0.845396
5.76	35.6958	-0.845116
5.77	35.6959	-0.844754
5.78	35.696	-0.844311
5.79	35.6962	-0.843791
5.8	35.6965	-0.843193
5.81	35.6967	-0.842522
5.82	35.697	-0.841779
5.83	35.6973	-0.840967
5.84	35.6976	-0.840089
5.85	35.6979	-0.839148
5.86	35.6983	-0.838148
5.87	35.6986	-0.837091
5.88	35.699	-0.83598
5.89	35.6995	-0.834819
5.9	35.6999	-0.833611
5.91	35.7004	-0.832359
5.92	35.7008	-0.831067
5.93	35.7013	-0.829738
5.94	35.7018	-0.828375
5.95	35.7023	-0.826982
5.96	35.7028	-0.825563
5.97	35.7033	-0.824122
5.98	35.7038	-0.822661
5.99	35.7044	-0.821186
6	35.7049	-0.819699
6.01	35.7054	-0.818205
6.02	35.706	-0.816708
6.03	35.7065	-0.815212
6.04	35.7071	-0.81372
6.05	35.7076	-0.812237
6.06	35.7081	-0.810766
6.07	35.7086	-0.809311
6.08	35.7092	-0.807875
6.09	35.7097	-0.806463
6.1	35.7102	-0.805076
6.11	35.7107	-0.803719
6.12	35.7111	-0.802395
6.13	35.7116	-0.801106
6.14	35.7121	-0.799854
6.15	35.7125	-0.798643
6.16	35.7129	-0.797475
6.17	35.7133	-0.796352
6.18	35.7137	-0.795276
6.19	35.7141	-0.794249
6.2	35.7144	-0.793272
6.21	35.7148	-0.792348
6.22	35.7151	-0.791478
6.23	35.7154	-0.790664
6.24	35.7156	-0.789906
6.25	35.7159	-0.789205
6.26	35.7161	-0.788562
6.27	35.7163	-0.787978
6.28	35.7165	-0.787452
6.29	35.7167	-0.786986
6.3	35.7168	-0.786578
6.31	35.717	-0.786227
6.32	35.7171	-0.785933
6.33	35.7172	-0.785694
6.34	35.7172	-0.785509
6.35	35.7173	-0.785376
6.36	35.7173	-0.785292
6.37	35.7173	-0.785254
6.38	35.7173	-0.785261
6.39	35.7173	-0.785308
6.4	35.7173	-0.785392
6.41	35.7172	-0.78551
6.42	35.7172	-0.785659
6.43	35.7171	-0.785833
6.44	35.717	-0.78603
6.45	35.717	-0.786245
6.46	35.7169	-0.786476
6.47	35.7168	-0.786717
6.48	35.7167	-0.786966
6.49	35.7166	-0.787219
6.5	35.7165	-0.787473
6.51	35.7164	-0.787724
6.52	35.7163	-0.787971
6.53	35.7162	-0.78821
6.54	35.7162	-0.78844
6.55	35.7161	-0.788658
6.56	35.716	-0.788864
6.57	35.7159	-0.789055
6.58	35.7159	-0.789232
6.59	35.7158	-0.789393
6.6	35.7158	-0.789538
6.61	35.7157	-0.789668
6.62	35.7157	-0.789782
6.63	35.7156	-0.789882
6.64	35.7156	-0.789969
6.65	35.7156	-0.790043
6.66	35.7156	-0.790106
6.67	35.7155	-0.790159
6.68	35.7155	-0.790206
6.69	35.7155	-0.790247
6.7	35.7155	-0.790284
6.71	35.7155	-0.790321
6.72	35.7155	-0.790359
6.73	35.7155	-0.790402
6.74	35.7154	-0.790451
6.75	35.7154	-0.79051
6.76	35.7154	-0.79058
6.77	35.7154	-0.790666
6.78	35.7153	-0.790769
6.79	35.7153	-0.790892
6.8	35.7152	-0.791038
6.81	35.7152	-0.791208
6.82	35.7151	-0.791406
6.83	35.715	-0.791633
6.84	35.7149	-0.79189
6.85	35.7148	-0.792181
6.86	35.7147	-0.792505
6.87	35.7146	-0.792864
6.88	35.7144	-0.79326
6.89	35.7143	-0.793692
6.9	35.7141	-0.794161
6.91	35.7139	-0.794668
6.92	35.7137	-0.795211
6.93	35.7135	-0.795791
6.94	35.7133	-0.796407
6.95	35.7131	-0.797058
6.96	35.7128	-0.797744
6.97	35.7126	-0.798462
6.98	35.7123	-0.799212
6.99	35.712	-0.799992
7	35.7117	-0.8008
7.01	35.7114	-0.801635
7.02	35.7111	-0.802494
7.03	35.7108	-0.803376
7.04	35.7105	-0.804278
7.05	35.7101	-0.8052
7.06	35.7098	-0.806138
7.07	35.7094	-0.807091
7.08	35.7091	-0.808056
7.09	35.7087	-0.809032
7.1	35.7084	-0.810017
7.11	35.708	-0.811009
7.12	35.7077	-0.812005
7.13	35.7073	-0.813005
7.14	35.707	-0.814006
7.15	35.7066	-0.815006
7.16	35.7062	-0.816005
7.17	35.7059	-0.816999
7.18	35.7055	-0.817988
7.19	35.7052	-0.818969
7.2	35.7048	-0.819942
7.21	35.7045	-0.820904
7.22	35.7041	-0.821855
7.23	35.7038	-0.822792
7.24	35.7035	-0.823714
7.25	35.7031	-0.824621
7.26	35.7028	-0.825509
7.27	35.7025	-0.826379
7.28	35.7022	-0.827228
7.29	35.7019	-0.828056
7.3	35.7016	-0.828862
