t	V	DV/V0 in %
1.96	51.6039	-4.43721
1.97	51.7349	-4.19466
1.98	51.8706	-3.94329
1.99	52.011	-3.68332
2	52.1559	-3.41501
2.01	52.3051	-3.13863
2.02	52.4586	-2.85447
2.03	52.6161	-2.56286
2.04	52.7774	-2.26415
2.05	52.9423	-1.95874
2.06	53.1106	-1.64705
2.07	53.282	-1.32956
2.08	53.4563	-1.00677
2.09	53.6332	-0.679213
2.1	53.8124	-0.347482
2.11	53.9934	-0.012188
2.12	54.1761	0.326022
2.13	54.3599	0.666473
2.14	54.5446	1.00846
2.15	54.7297	1.35127
2.16	54.9148	1.69416
2.17	55.0996	2.03638
2.18	55.2837	2.37717
2.19	55.4665	2.71577
2.2	55.6478	3.05143
2.21	55.827	3.38338
2.22	56.0039	3.7109
2.23	56.178	4.03324
2.24	56.3488	4.3497
2.25	56.5162	4.65959
2.26	56.6796	4.96223
2.27	56.8388	5.25699
2.28	56.9934	5.54325
2.29	57.143	5.82042
2.3	57.2875	6.08795
2.31	57.4265	6.34533
2.32	57.5597	6.59205
2.33	57.6869	6.82768
2.34	57.808	7.0518
2.35	57.9226	7.26403
2.36	58.0306	7.46403
2.37	58.1318	7.65149
2.38	58.2261	7.82615
2.39	58.3134	7.98777
2.4	58.3935	8.13615
2.41	58.4664	8.27112
2.42	58.532	8.39254
2.43	58.5902	8.5003
2.44	58.6409	8.59432
2.45	58.6843	8.67454
2.46	58.7201	8.74092
2.47	58.7485	8.79345
2.48	58.7694	8.83214
2.49	58.7828	8.85701
2.5	58.7888	8.86811
2.51	58.7874	8.8655
2.52	58.7786	8.84927
2.53	58.7625	8.81953
2.54	58.7392	8.77638
2.55	58.7088	8.71998
2.56	58.6713	8.6505
2.57	58.6268	8.5681
2.58	58.5754	8.47302
2.59	58.5174	8.36549
2.6	58.4527	8.24576
2.61	58.3816	8.11412
2.62	58.3043	7.9709
2.63	58.2209	7.81643
2.64	58.1316	7.6511
2.65	58.0367	7.4753
2.66	57.9363	7.28946
2.67	57.8308	7.09404
2.68	57.7203	6.88952
2.69	57.6053	6.67641
2.7	57.4858	6.45523
2.71	57.3623	6.22654
2.72	57.2351	5.9909
2.73	57.1044	5.7489
2.74	56.9706	5.50113
2.75	56.834	5.2482
2.76	56.695	4.99073
2.77	56.5538	4.72934
2.78	56.4109	4.46465
2.79	56.2665	4.19729
2.8	56.1211	3.92787
2.81	55.9748	3.65703
2.82	55.8281	3.38537
2.83	55.6813	3.1135
2.84	55.5347	2.84201
2.85	55.3886	2.57148
2.86	55.2433	2.30249
2.87	55.0992	2.03558
2.88	54.9565	1.77129
2.89	54.8155	1.51015
2.9	54.6764	1.25266
2.91	54.5396	0.999307
2.92	54.4053	0.750557
2.93	54.2737	0.506861
2.94	54.1451	0.268647
2.95	54.0196	0.0363259
2.96	53.8976	-0.189711
2.97	53.7791	-0.409091
2.98	53.6644	-0.621463
2.99	53.5537	-0.826493
3	53.4471	-1.02387
3.01	53.3448	-1.21329
3.02	53.247	-1.39448
3.03	53.1537	-1.56719
3.04	53.0652	-1.73118
3.05	52.9814	-1.88621
3.06	52.9027	-2.0321
3.07	52.8289	-2.16866
3.08	52.7603	-2.29571
3.09	52.6969	-2.41312
3.1	52.6388	-2.52075
3.11	52.586	-2.61851
3.12	52.5386	-2.70628
3.13	52.4966	-2.78401
3.14	52.4601	-2.85165
3.15	52.4291	-2.90916
3.16	52.4035	-2.95652
3.17	52.3834	-2.99375
3.18	52.3687	-3.02088
3.19	52.3595	-3.03794
3.2	52.3557	-3.04501
3.21	52.3572	-3.04217
3.22	52.3641	-3.02952
3.23	52.3761	-3.00718
3.24	52.3933	-2.97528
3.25	52.4156	-2.93399
3.26	52.4429	-2.88347
3.27	52.4751	-2.8239
3.28	52.512	-2.75549
3.29	52.5536	-2.67844
3.3	52.5998	-2.593
3.31	52.6503	-2.49938
3.32	52.7052	-2.39786
3.33	52.7641	-2.28868
3.34	52.8271	-2.17212
3.35	52.8938	-2.04847
3.36	52.9643	-1.91801
3.37	53.0382	-1.78104
3.38	53.1155	-1.63789
3.39	53.196	-1.48885
3.4	53.2795	-1.33427
3.41	53.3658	-1.17446
3.42	53.4547	-1.00977
3.43	53.5461	-0.840535
3.44	53.6398	-0.667118
3.45	53.7355	-0.489869
3.46	53.8331	-0.309152
3.47	53.9323	-0.125334
3.48	54.0331	0.0612138
3.49	54.1351	0.250115
3.5	54.2381	0.440989
3.51	54.3421	0.633452
3.52	54.4466	0.827119
3.53	54.5517	1.0216
3.54	54.6569	1.21651
3.55	54.7622	1.41145
3.56	54.8673	1.60605
3.57	54.9719	1.7999
3.58	55.076	1.99263
3.59	55.1793	2.18386
3.6	55.2815	2.37321
3.61	55.3826	2.56032
3.62	55.4822	2.74483
3.63	55.5803	2.92639
3.64	55.6765	3.10466
3.65	55.7708	3.27933
3.66	55.863	3.45007
3.67	55.953	3.61659
3.68	56.0405	3.77862
3.69	56.1254	3.93589
3.7	56.2076	4.08815
3.71	56.287	4.23519
3.72	56.3635	4.3768
3.73	56.4369	4.51278
3.74	56.5072	4.64297
3.75	56.5743	4.76723
3.76	56.6381	4.88543
3.77	56.6986	4.99746
3.78	56.7557	5.10323
3.79	56.8094	5.20266
3.8	56.8597	5.29571
3.81	56.9065	5.38233
3.82	56.9498	5.4625
3.83	56.9896	5.53622
3.84	57.0259	5.60349
3.85	57.0587	5.66432
3.86	57.0881	5.71875
3.87	57.1141	5.76681
3.88	57.1366	5.80856
3.89	57.1558	5.84404
3.9	57.1716	5.87333
3.91	57.1841	5.89649
3.92	57.1933	5.9136
3.93	57.1994	5.92474
3.94	57.2022	5.93001
3.95	57.2019	5.9295
3.96	57.1986	5.9233
3.97	57.1922	5.91152
3.98	57.1829	5.89427
3.99	57.1707	5.87165
4	57.1556	5.84379
4.01	57.1378	5.81079
4.02	57.1173	5.7728
4.03	57.0942	5.72992
4.04	57.0684	5.68229
4.05	57.0402	5.63004
4.06	57.0096	5.57331
4.07	56.9766	5.51223
4.08	56.9414	5.44694
4.09	56.9039	5.37759
4.1	56.8643	5.30432
4.11	56.8227	5.22727
4.12	56.7792	5.14659
4.13	56.7337	5.06241
4.14	56.6864	4.97488
4.15	56.6374	4.88415
4.16	56.5868	4.79035
4.17	56.5346	4.69362
4.18	56.4808	4.5941
4.19	56.4256	4.49192
4.2	56.3691	4.3872
4.21	56.3112	4.28009
4.22	56.2522	4.17069
4.23	56.1919	4.05913
4.24	56.1306	3.94552
4.25	56.0682	3.82998
4.26	56.0048	3.7126
4.27	55.9405	3.59349
4.28	55.8753	3.47274
4.29	55.8092	3.35046
4.3	55.7424	3.22672
4.31	55.6749	3.10163
4.32	55.6066	2.97525
4.33	55.5377	2.84767
4.34	55.4682	2.71897
4.35	55.3982	2.58923
4.36	55.3276	2.45852
4.37	55.2565	2.32692
4.38	55.185	2.1945
4.39	55.1131	2.06133
4.4	55.0408	1.92748
4.41	54.9682	1.79305
4.42	54.8954	1.65809
4.43	54.8223	1.5227
4.44	54.749	1.38696
4.45	54.6755	1.25094
4.46	54.602	1.11474
4.47	54.5284	0.978458
4.48	54.4548	0.842178
4.49	54.3812	0.706003
4.5	54.3078	0.570035
4.51	54.2346	0.43438
4.52	54.1615	0.299147
4.53	54.0888	0.164449
4.54	54.0164	0.0303986
4.55	53.9444	-0.102887
4.56	53.8729	-0.235289
4.57	53.802	-0.366689
4.58	53.7316	-0.496968
4.59	53.662	-0.626006
4.6	53.593	-0.753685
4.61	53.5249	-0.879889
4.62	53.4576	-1.0045
4.63	53.3912	-1.12741
4.64	53.3258	-1.24851
4.65	53.2614	-1.36769
4.66	53.1982	-1.48485
4.67	53.1361	-1.5999
4.68	53.0751	-1.71273
4.69	53.0154	-1.82326
4.7	52.957	-1.93141
4.71	52.9	-2.03708
4.72	52.8443	-2.14022
4.73	52.79	-2.24073
4.74	52.7372	-2.33855
4.75	52.6858	-2.43362
4.76	52.636	-2.52586
4.77	52.5878	-2.61521
4.78	52.5411	-2.70161
4.79	52.4961	-2.78499
4.8	52.4527	-2.8653
4.81	52.4111	-2.94246
4.82	52.3711	-3.01642
4.83	52.333	-3.08711
4.84	52.2966	-3.15445
4.85	52.2621	-3.21839
4.86	52.2294	-3.27885
4.87	52.1987	-3.33575
4.88	52.1699	-3.38902
4.89	52.1432	-3.43859
4.9	52.1184	-3.48436
4.91	52.0958	-3.52626
4.92	52.0753	-3.5642
4.93	52.057	-3.5981
4.94	52.0409	-3.62788
4.95	52.0271	-3.65343
4.96	52.0157	-3.67469
4.97	52.0066	-3.69155
4.98	51.9999	-3.70394
4.99	51.9956	-3.71178
5	51.9939	-3.71498
5.01	51.9947	-3.71347
5.02	51.9981	-3.70717
5.03	52.0041	-3.69603
5.04	52.0128	-3.67996
5.05	52.0242	-3.65892
