t	MS	MT0	MT
1.45	-6.54035	-8.26733	-0.627415
1.46	-6.58173	-8.44671	-0.611412
1.47	-6.62193	-8.62243	-0.597481
1.48	-6.66094	-8.79401	-0.58564
1.49	-6.69879	-8.961	-0.57589
1.5	-6.73549	-9.12295	-0.568217
1.51	-6.77104	-9.27944	-0.562595
1.52	-6.80547	-9.43009	-0.558988
1.53	-6.83877	-9.57452	-0.557355
1.54	-6.87096	-9.7124	-0.557646
1.55	-6.90204	-9.84341	-0.559808
1.56	-6.93201	-9.96725	-0.563773
1.57	-6.96087	-10.0837	-0.569469
1.58	-6.98862	-10.1924	-0.576806
1.59	-7.01526	-10.2932	-0.585685
1.6	-7.04077	-10.386	-0.595988
1.61	-7.06514	-10.4706	-0.607587
1.62	-7.08837	-10.5467	-0.620341
1.63	-7.11043	-10.6144	-0.634099
1.64	-7.13132	-10.6735	-0.648708
1.65	-7.15101	-10.724	-0.664012
1.66	-7.1695	-10.7658	-0.67986
1.67	-7.18676	-10.7989	-0.696112
1.68	-7.20277	-10.8233	-0.712636
1.69	-7.21753	-10.8391	-0.729318
1.7	-7.23101	-10.8463	-0.746054
1.71	-7.24319	-10.845	-0.762759
1.72	-7.25407	-10.8353	-0.779354
1.73	-7.26363	-10.8173	-0.795774
1.74	-7.27186	-10.7912	-0.811955
1.75	-7.27873	-10.7572	-0.827837
1.76	-7.28425	-10.7154	-0.843357
1.77	-7.2884	-10.666	-0.858446
1.78	-7.29118	-10.6093	-0.873032
1.79	-7.29256	-10.5455	-0.887033
1.8	-7.29255	-10.4749	-0.900363
1.81	-7.29115	-10.3977	-0.912931
1.82	-7.28833	-10.3143	-0.924644
1.83	-7.28412	-10.225	-0.935411
1.84	-7.27849	-10.13	-0.945145
1.85	-7.27145	-10.0298	-0.953767
1.86	-7.263	-9.92469	-0.96121
1.87	-7.25315	-9.81502	-0.967416
1.88	-7.24189	-9.70119	-0.972343
1.89	-7.22924	-9.58357	-0.975965
1.9	-7.2152	-9.46255	-0.978266
1.91	-7.19979	-9.33855	-0.979247
1.92	-7.18301	-9.21197	-0.97892
1.93	-7.16488	-9.08321	-0.97731
1.94	-7.14541	-8.95268	-0.97445
1.95	-7.12464	-8.82081	-0.970384
1.96	-7.10258	-8.68801	-0.965164
1.97	-7.07926	-8.55469	-0.95885
1.98	-7.0547	-8.42126	-0.951508
1.99	-7.02895	-8.28814	-0.943213
2	-7.00203	-8.15572	-0.934044
2.01	-6.97399	-8.0244	-0.924089
2.02	-6.94487	-7.89458	-0.913438
2.03	-6.91472	-7.76662	-0.902186
2.04	-6.88358	-7.64092	-0.890431
2.05	-6.85151	-7.51782	-0.878272
2.06	-6.81857	-7.39767	-0.865806
2.07	-6.78482	-7.28082	-0.853129
2.08	-6.75031	-7.16758	-0.840331
2.09	-6.71511	-7.05825	-0.827495
2.1	-6.67929	-6.95314	-0.814696
2.11	-6.64293	-6.85252	-0.802003
2.12	-6.60608	-6.75665	-0.789474
2.13	-6.56882	-6.66576	-0.777158
2.14	-6.53123	-6.58007	-0.765098
2.15	-6.49338	-6.4998	-0.753329
2.16	-6.45534	-6.42513	-0.741884
2.17	-6.41718	-6.35622	-0.730793
2.18	-6.37899	-6.29322	-0.720083
2.19	-6.34083	-6.23625	-0.709788
2.2	-6.30277	-6.18542	-0.699941
2.21	-6.26488	-6.14081	-0.690584
2.22	-6.22722	-6.10249	-0.681762
2.23	-6.18987	-6.07051	-0.673528
2.24	-6.15288	-6.04489	-0.665938
2.25	-6.11631	-6.02563	-0.659053
2.26	-6.08021	-6.01272	-0.652935
2.27	-6.04464	-6.00614	-0.647646
2.28	-6.00965	-6.00582	-0.643243
2.29	-5.97528	-6.0117	-0.639778
2.3	-5.94157	-6.02369	-0.637295
2.31	-5.90857	-6.04168	-0.635824
2.32	-5.87631	-6.06556	-0.635385
2.33	-5.84482	-6.09518	-0.635983
2.34	-5.81413	-6.13038	-0.63761
2.35	-5.78428	-6.17101	-0.640242
2.36	-5.75528	-6.21686	-0.643845
2.37	-5.72716	-6.26776	-0.648373
2.38	-5.69994	-6.32347	-0.653773
2.39	-5.67365	-6.38379	-0.659984
2.4	-5.64828	-6.44847	-0.666942
2.41	-5.62387	-6.51727	-0.674581
2.42	-5.60042	-6.58994	-0.682836
2.43	-5.57795	-6.66619	-0.691643
2.44	-5.55647	-6.74577	-0.700941
2.45	-5.53598	-6.82839	-0.71067
2.46	-5.51649	-6.91377	-0.720775
2.47	-5.49801	-7.0016	-0.731202
2.48	-5.48054	-7.09159	-0.741895
2.49	-5.46408	-7.18344	-0.752803
2.5	-5.44863	-7.27685	-0.76387
2.51	-5.43419	-7.37151	-0.77504
2.52	-5.42075	-7.4671	-0.786253
2.53	-5.4083	-7.56334	-0.797446
2.54	-5.39684	-7.6599	-0.808554
2.55	-5.38635	-7.75649	-0.819511
2.56	-5.37682	-7.85281	-0.830244
2.57	-5.36822	-7.94857	-0.840686
2.58	-5.36054	-8.04347	-0.850764
2.59	-5.35376	-8.13723	-0.86041
2.6	-5.34784	-8.22957	-0.869556
2.61	-5.34276	-8.32022	-0.878141
2.62	-5.33848	-8.40892	-0.886102
2.63	-5.33497	-8.49542	-0.893387
2.64	-5.33218	-8.57948	-0.899945
2.65	-5.33008	-8.66086	-0.905732
2.66	-5.32863	-8.73934	-0.910709
2.67	-5.32777	-8.81471	-0.914845
2.68	-5.32747	-8.88677	-0.918116
2.69	-5.32765	-8.95534	-0.920503
2.7	-5.32829	-9.02024	-0.921998
2.71	-5.32931	-9.08132	-0.922601
2.72	-5.33068	-9.13844	-0.922321
2.73	-5.33232	-9.19145	-0.921178
2.74	-5.33419	-9.24024	-0.919201
2.75	-5.33622	-9.28472	-0.916432
2.76	-5.33836	-9.32479	-0.912921
2.77	-5.34056	-9.36038	-0.90873
2.78	-5.34275	-9.39144	-0.90393
2.79	-5.34487	-9.41791	-0.898596
2.8	-5.34689	-9.43978	-0.892813
2.81	-5.34873	-9.45703	-0.886665
2.82	-5.35035	-9.46965	-0.880242
2.83	-5.3517	-9.47767	-0.873629
2.84	-5.35272	-9.48112	-0.866908
2.85	-5.35338	-9.48003	-0.860159
2.86	-5.35363	-9.47446	-0.853453
2.87	-5.35343	-9.46449	-0.846852
2.88	-5.35273	-9.4502	-0.840411
2.89	-5.35151	-9.43167	-0.834179
2.9	-5.34973	-9.40903	-0.828192
2.91	-5.34736	-9.38238	-0.822483
2.92	-5.34437	-9.35187	-0.817076
2.93	-5.34075	-9.31761	-0.81199
2.94	-5.33647	-9.27978	-0.807242
2.95	-5.33152	-9.23852	-0.802845
2.96	-5.32588	-9.19401	-0.79881
2.97	-5.31954	-9.14642	-0.795149
2.98	-5.3125	-9.09594	-0.791871
2.99	-5.30475	-9.04275	-0.788986
3	-5.2963	-8.98706	-0.786504
3.01	-5.28714	-8.92906	-0.784434
3.02	-5.27729	-8.86896	-0.782784
3.03	-5.26675	-8.80698	-0.781561
3.04	-5.25554	-8.74332	-0.780767
3.05	-5.24367	-8.6782	-0.780403
3.06	-5.23116	-8.61185	-0.780466
3.07	-5.21803	-8.54448	-0.780949
3.08	-5.2043	-8.47631	-0.781841
3.09	-5.19	-8.40756	-0.783126
3.1	-5.17516	-8.33845	-0.784786
3.11	-5.15981	-8.2692	-0.786799
3.12	-5.14397	-8.20002	-0.789137
3.13	-5.12769	-8.13113	-0.791774
3.14	-5.11099	-8.06273	-0.794678
3.15	-5.09392	-7.99503	-0.797819
3.16	-5.0765	-7.92822	-0.801163
3.17	-5.05879	-7.86251	-0.804677
3.18	-5.04081	-7.79807	-0.80833
3.19	-5.02262	-7.7351	-0.81209
3.2	-5.00425	-7.67376	-0.815926
3.21	-4.98574	-7.61422	-0.81981
3.22	-4.96714	-7.55665	-0.823715
3.23	-4.94848	-7.50119	-0.827616
3.24	-4.92982	-7.448	-0.831494
3.25	-4.91119	-7.39719	-0.835329
3.26	-4.89263	-7.3489	-0.839106
3.27	-4.87419	-7.30325	-0.842814
3.28	-4.85591	-7.26034	-0.846442
3.29	-4.83782	-7.22026	-0.849985
3.3	-4.81997	-7.18311	-0.853439
3.31	-4.8024	-7.14895	-0.856801
3.32	-4.78514	-7.11787	-0.860069
3.33	-4.76823	-7.0899	-0.863244
3.34	-4.7517	-7.0651	-0.866323
3.35	-4.7356	-7.04351	-0.869305
3.36	-4.71995	-7.02514	-0.872186
3.37	-4.70478	-7.01002	-0.87496
3.38	-4.69013	-6.99815	-0.877617
3.39	-4.67602	-6.98953	-0.880146
3.4	-4.66248	-6.98413	-0.882532
3.41	-4.64953	-6.98195	-0.884759
3.42	-4.6372	-6.98294	-0.886807
3.43	-4.6255	-6.98707	-0.888656
3.44	-4.61447	-6.99428	-0.890284
3.45	-4.60411	-7.00451	-0.891668
3.46	-4.59445	-7.0177	-0.892789
3.47	-4.58549	-7.03377	-0.893627
3.48	-4.57726	-7.05264	-0.894165
3.49	-4.56975	-7.07422	-0.894388
3.5	-4.56299	-7.09841	-0.894287
3.51	-4.55698	-7.1251	-0.893853
3.52	-4.55172	-7.15419	-0.893084
3.53	-4.54723	-7.18556	-0.89198
3.54	-4.54349	-7.21909	-0.890543
3.55	-4.54052	-7.25466	-0.888782
3.56	-4.53831	-7.29213	-0.886707
3.57	-4.53687	-7.33137	-0.884328
3.58	-4.53619	-7.37223	-0.881661
3.59	-4.53625	-7.41459	-0.878722
3.6	-4.53707	-7.45829	-0.875527
3.61	-4.53863	-7.50319	-0.872094
3.62	-4.54092	-7.54915	-0.868443
3.63	-4.54393	-7.596	-0.864592
3.64	-4.54765	-7.6436	-0.860561
3.65	-4.55207	-7.6918	-0.856371
3.66	-4.55718	-7.74045	-0.852042
3.67	-4.56296	-7.78939	-0.847594
3.68	-4.5694	-7.83848	-0.843049
3.69	-4.57648	-7.88757	-0.838428
3.7	-4.58418	-7.93651	-0.833754
3.71	-4.59248	-7.98515	-0.829049
3.72	-4.60138	-8.03336	-0.824335
3.73	-4.61084	-8.08098	-0.819636
3.74	-4.62085	-8.12789	-0.814974
3.75	-4.63139	-8.17395	-0.810372
3.76	-4.64244	-8.21904	-0.805855
3.77	-4.65397	-8.26302	-0.801446
3.78	-4.66597	-8.30577	-0.797167
3.79	-4.67841	-8.34719	-0.793043
3.8	-4.69128	-8.38716	-0.789096
3.81	-4.70454	-8.42557	-0.785349
3.82	-4.71817	-8.46233	-0.781822
3.83	-4.73216	-8.49734	-0.778538
3.84	-4.74648	-8.53051	-0.775515
3.85	-4.76111	-8.56177	-0.772771
3.86	-4.77602	-8.59105	-0.770324
3.87	-4.7912	-8.61826	-0.768187
3.88	-4.80661	-8.64336	-0.766372
3.89	-4.82224	-8.66628	-0.764886
3.9	-4.83807	-8.68699	-0.763737
3.91	-4.85408	-8.70545	-0.762925
3.92	-4.87023	-8.72161	-0.762449
3.93	-4.88652	-8.73546	-0.762304
3.94	-4.90292	-8.74698	-0.76248
3.95	-4.9194	-8.75616	-0.762966
3.96	-4.93596	-8.763	-0.763745
3.97	-4.95258	-8.76749	-0.764798
3.98	-4.96922	-8.76966	-0.766104
3.99	-4.98589	-8.76952	-0.76764
4	-5.00255	-8.7671	-0.769381
4.01	-5.01919	-8.76242	-0.7713
4.02	-5.0358	-8.75554	-0.773372
4.03	-5.05235	-8.74648	-0.77557
4.04	-5.06885	-8.73531	-0.777868
4.05	-5.08526	-8.72209	-0.780239
4.06	-5.10158	-8.70686	-0.782659
4.07	-5.1178	-8.68972	-0.785105
4.08	-5.1339	-8.67072	-0.787554
4.09	-5.14987	-8.64995	-0.789983
4.1	-5.1657	-8.62749	-0.792374
4.11	-5.18138	-8.60343	-0.794706
4.12	-5.19691	-8.57787	-0.796963
4.13	-5.21227	-8.55089	-0.799125
4.14	-5.22746	-8.5226	-0.801179
4.15	-5.24247	-8.49311	-0.803108
4.16	-5.25729	-8.46251	-0.804899
4.17	-5.27192	-8.43091	-0.806539
4.18	-5.28635	-8.39842	-0.808016
4.19	-5.30058	-8.36516	-0.809321
4.2	-5.31461	-8.33124	-0.810443
4.21	-5.32844	-8.29677	-0.811376
4.22	-5.34205	-8.26186	-0.812113
4.23	-5.35545	-8.22663	-0.81265
4.24	-5.36865	-8.19118	-0.812984
4.25	-5.38163	-8.15565	-0.813114
4.26	-5.3944	-8.12012	-0.813042
4.27	-5.40696	-8.08472	-0.812769
4.28	-5.41931	-8.04956	-0.812299
4.29	-5.43146	-8.01474	-0.811639
4.3	-5.4434	-7.98036	-0.810795
4.31	-5.45513	-7.94653	-0.809778
4.32	-5.46667	-7.91335	-0.808596
4.33	-5.47802	-7.88091	-0.807262
4.34	-5.48917	-7.8493	-0.805788
4.35	-5.50014	-7.81862	-0.804188
4.36	-5.51092	-7.78895	-0.802478
4.37	-5.52153	-7.76036	-0.800672
4.38	-5.53197	-7.73294	-0.798788
4.39	-5.54224	-7.70675	-0.79684
4.4	-5.55234	-7.68187	-0.794847
4.41	-5.5623	-7.65835	-0.792825
4.42	-5.5721	-7.63625	-0.790789
4.43	-5.58176	-7.61563	-0.788757
4.44	-5.59129	-7.59652	-0.786742
4.45	-5.60068	-7.57898	-0.78476
4.46	-5.60995	-7.56303	-0.782823
4.47	-5.61911	-7.54871	-0.780944
4.48	-5.62815	-7.53605	-0.779134
4.49	-5.63709	-7.52505	-0.777402
4.5	-5.64593	-7.51574	-0.775757
4.51	-5.65468	-7.50813	-0.774207
4.52	-5.66334	-7.50221	-0.772759
4.53	-5.67193	-7.49799	-0.771417
4.54	-5.68044	-7.49546	-0.770187
4.55	-5.68888	-7.49461	-0.769074
4.56	-5.69726	-7.49542	-0.768081
4.57	-5.70559	-7.49786	-0.767213
4.58	-5.71386	-7.50192	-0.766473
4.59	-5.72209	-7.50755	-0.765864
4.6	-5.73027	-7.51472	-0.76539
4.61	-5.73842	-7.5234	-0.765053
4.62	-5.74654	-7.53353	-0.764858
4.63	-5.75463	-7.54508	-0.764807
4.64	-5.76269	-7.55798	-0.764902
4.65	-5.77073	-7.57218	-0.765147
4.66	-5.77875	-7.58762	-0.765543
4.67	-5.78676	-7.60424	-0.766092
4.68	-5.79475	-7.62198	-0.766794
4.69	-5.80273	-7.64076	-0.767651
4.7	-5.81071	-7.66052	-0.768662
4.71	-5.81867	-7.68118	-0.769826
4.72	-5.82662	-7.70268	-0.771141
4.73	-5.83457	-7.72493	-0.772604
4.74	-5.8425	-7.74785	-0.774212
4.75	-5.85043	-7.77138	-0.77596
4.76	-5.85836	-7.79542	-0.777843
4.77	-5.86627	-7.81991	-0.779854
4.78	-5.87417	-7.84476	-0.781988
4.79	-5.88206	-7.86989	-0.784235
4.8	-5.88993	-7.89521	-0.786586
4.81	-5.89779	-7.92066	-0.789034
4.82	-5.90563	-7.94615	-0.791566
4.83	-5.91344	-7.9716	-0.794173
4.84	-5.92123	-7.99694	-0.796843
4.85	-5.92899	-8.02208	-0.799565
4.86	-5.93671	-8.04696	-0.802325
4.87	-5.9444	-8.07151	-0.805111
4.88	-5.95204	-8.09564	-0.807912
4.89	-5.95963	-8.11929	-0.810713
4.9	-5.96717	-8.1424	-0.813502
4.91	-5.97465	-8.1649	-0.816267
4.92	-5.98206	-8.18673	-0.818995
4.93	-5.9894	-8.20783	-0.821674
4.94	-5.99667	-8.22814	-0.824292
4.95	-6.00385	-8.24762	-0.826838
4.96	-6.01094	-8.2662	-0.829301
4.97	-6.01793	-8.28386	-0.83167
4.98	-6.02482	-8.30053	-0.833934
4.99	-6.03159	-8.31618	-0.836085
5	-6.03825	-8.33079	-0.838114
5.01	-6.04478	-8.3443	-0.840012
5.02	-6.05117	-8.3567	-0.841771
5.03	-6.05743	-8.36796	-0.843385
5.04	-6.06353	-8.37806	-0.844847
5.05	-6.06948	-8.38698	-0.846152
5.06	-6.07526	-8.3947	-0.847295
5.07	-6.08087	-8.40123	-0.848275
5.08	-6.0863	-8.40654	-0.849088
5.09	-6.09154	-8.41064	-0.849735
5.1	-6.09659	-8.41354	-0.850215
5.11	-6.10143	-8.41522	-0.850531
5.12	-6.10607	-8.41571	-0.850686
5.13	-6.11048	-8.41502	-0.850685
5.14	-6.11467	-8.41316	-0.850533
5.15	-6.11863	-8.41014	-0.85024
5.16	-6.12234	-8.406	-0.849812
5.17	-6.12581	-8.40075	-0.849261
5.18	-6.12903	-8.39444	-0.848597
5.19	-6.13198	-8.38708	-0.847831
5.2	-6.13467	-8.37871	-0.846976
5.21	-6.13709	-8.36937	-0.846046
5.22	-6.13923	-8.3591	-0.845053
5.23	-6.14108	-8.34793	-0.844011
5.24	-6.14265	-8.33593	-0.842934
5.25	-6.14392	-8.32312	-0.841835
5.26	-6.1449	-8.30956	-0.840728
5.27	-6.14557	-8.29531	-0.839626
5.28	-6.14593	-8.2804	-0.83854
5.29	-6.14599	-8.26489	-0.837482
5.3	-6.14573	-8.24885	-0.836464
5.31	-6.14515	-8.23231	-0.835496
5.32	-6.14426	-8.21534	-0.834586
5.33	-6.14304	-8.198	-0.833743
5.34	-6.1415	-8.18034	-0.832974
5.35	-6.13963	-8.16243	-0.832285
5.36	-6.13744	-8.1443	-0.831681
5.37	-6.13493	-8.12604	-0.831167
5.38	-6.13208	-8.10768	-0.830744
5.39	-6.12891	-8.0893	-0.830416
5.4	-6.12542	-8.07094	-0.830183
5.41	-6.1216	-8.05266	-0.830046
5.42	-6.11746	-8.03451	-0.830003
5.43	-6.113	-8.01656	-0.830052
5.44	-6.10822	-7.99884	-0.830192
5.45	-6.10313	-7.98142	-0.83042
5.46	-6.09772	-7.96434	-0.830731
5.47	-6.092	-7.94766	-0.83112
5.48	-6.08598	-7.9314	-0.831583
5.49	-6.07966	-7.91563	-0.832114
5.5	-6.07305	-7.90038	-0.832707
5.51	-6.06614	-7.8857	-0.833354
5.52	-6.05895	-7.87161	-0.834049
5.53	-6.05149	-7.85816	-0.834784
5.54	-6.04375	-7.84538	-0.835551
5.55	-6.03574	-7.8333	-0.836342
5.56	-6.02748	-7.82195	-0.837148
5.57	-6.01896	-7.81135	-0.837961
5.58	-6.01021	-7.80154	-0.838773
5.59	-6.00121	-7.79252	-0.839573
5.6	-5.99199	-7.78431	-0.840355
5.61	-5.98255	-7.77694	-0.84111
5.62	-5.9729	-7.77041	-0.84183
5.63	-5.96304	-7.76473	-0.842507
5.64	-5.953	-7.75992	-0.843135
5.65	-5.94277	-7.75597	-0.843707
5.66	-5.93236	-7.75288	-0.844216
5.67	-5.92179	-7.75066	-0.844659
5.68	-5.91107	-7.7493	-0.84503
5.69	-5.9002	-7.7488	-0.845326
5.7	-5.88919	-7.74914	-0.845544
5.71	-5.87806	-7.75032	-0.84568
5.72	-5.86681	-7.75232	-0.845735
5.73	-5.85546	-7.75512	-0.845705
5.74	-5.84401	-7.75871	-0.845592
5.75	-5.83247	-7.76307	-0.845396
5.76	-5.82086	-7.76817	-0.845116
5.77	-5.80918	-7.774	-0.844754
5.78	-5.79744	-7.78051	-0.844311
5.79	-5.78566	-7.78769	-0.843791
5.8	-5.77384	-7.79551	-0.843193
5.81	-5.76199	-7.80393	-0.842522
5.82	-5.75012	-7.81293	-0.841779
5.83	-5.73824	-7.82246	-0.840967
5.84	-5.72636	-7.83249	-0.840089
5.85	-5.71449	-7.84298	-0.839148
5.86	-5.70264	-7.85391	-0.838148
5.87	-5.69081	-7.86522	-0.837091
5.88	-5.67901	-7.87688	-0.83598
5.89	-5.66726	-7.88886	-0.834819
5.9	-5.65555	-7.9011	-0.833611
5.91	-5.6439	-7.91357	-0.832359
5.92	-5.63232	-7.92623	-0.831067
5.93	-5.6208	-7.93904	-0.829738
5.94	-5.60936	-7.95196	-0.828375
5.95	-5.598	-7.96494	-0.826982
5.96	-5.58673	-7.97794	-0.825563
5.97	-5.57556	-7.99094	-0.824122
5.98	-5.56449	-8.00387	-0.822661
5.99	-5.55352	-8.01672	-0.821186
6	-5.54266	-8.02943	-0.819699
6.01	-5.53192	-8.04197	-0.818205
6.02	-5.52129	-8.05431	-0.816708
6.03	-5.51079	-8.0664	-0.815212
6.04	-5.50042	-8.07822	-0.81372
6.05	-5.49017	-8.08973	-0.812237
6.06	-5.48006	-8.1009	-0.810766
6.07	-5.47008	-8.11169	-0.809311
6.08	-5.46023	-8.12209	-0.807875
6.09	-5.45053	-8.13205	-0.806463
6.1	-5.44097	-8.14157	-0.805076
6.11	-5.43155	-8.1506	-0.803719
6.12	-5.42227	-8.15914	-0.802395
6.13	-5.41314	-8.16715	-0.801106
6.14	-5.40415	-8.17462	-0.799854
6.15	-5.39531	-8.18153	-0.798643
6.16	-5.38662	-8.18787	-0.797475
6.17	-5.37807	-8.19362	-0.796352
6.18	-5.36966	-8.19878	-0.795276
6.19	-5.3614	-8.20333	-0.794249
6.2	-5.35329	-8.20726	-0.793272
6.21	-5.34532	-8.21058	-0.792348
6.22	-5.33749	-8.21327	-0.791478
6.23	-5.3298	-8.21534	-0.790664
6.24	-5.32226	-8.21678	-0.789906
6.25	-5.31485	-8.2176	-0.789205
6.26	-5.30758	-8.2178	-0.788562
6.27	-5.30044	-8.21739	-0.787978
6.28	-5.29344	-8.21638	-0.787452
6.29	-5.28656	-8.21477	-0.786986
6.3	-5.27982	-8.21258	-0.786578
6.31	-5.27321	-8.20982	-0.786227
6.32	-5.26672	-8.2065	-0.785933
6.33	-5.26035	-8.20264	-0.785694
6.34	-5.2541	-8.19827	-0.785509
6.35	-5.24798	-8.19339	-0.785376
6.36	-5.24197	-8.18803	-0.785292
