t	MS	MT0	MT
6.37	-5.23607	-8.18221	-0.785254
6.38	-5.23029	-8.17595	-0.785261
6.39	-5.22461	-8.16928	-0.785308
6.4	-5.21905	-8.16223	-0.785392
6.41	-5.21359	-8.15481	-0.78551
6.42	-5.20824	-8.14706	-0.785659
6.43	-5.20298	-8.139	-0.785833
6.44	-5.19783	-8.13066	-0.78603
6.45	-5.19278	-8.12207	-0.786245
6.46	-5.18782	-8.11326	-0.786476
6.47	-5.18296	-8.10426	-0.786717
6.48	-5.1782	-8.0951	-0.786966
6.49	-5.17352	-8.0858	-0.787219
6.5	-5.16894	-8.07641	-0.787473
6.51	-5.16445	-8.06695	-0.787724
6.52	-5.16005	-8.05744	-0.787971
6.53	-5.15573	-8.04792	-0.78821
6.54	-5.15151	-8.03842	-0.78844
6.55	-5.14737	-8.02897	-0.788658
6.56	-5.14332	-8.01959	-0.788864
6.57	-5.13936	-8.01032	-0.789055
6.58	-5.13548	-8.00118	-0.789232
6.59	-5.13169	-7.9922	-0.789393
6.6	-5.12799	-7.9834	-0.789538
6.61	-5.12438	-7.97481	-0.789668
6.62	-5.12085	-7.96646	-0.789782
6.63	-5.11741	-7.95836	-0.789882
6.64	-5.11406	-7.95054	-0.789969
6.65	-5.1108	-7.94302	-0.790043
6.66	-5.10763	-7.93582	-0.790106
6.67	-5.10455	-7.92895	-0.790159
6.68	-5.10156	-7.92245	-0.790206
6.69	-5.09867	-7.91631	-0.790247
6.7	-5.09587	-7.91056	-0.790284
6.71	-5.09317	-7.90521	-0.790321
6.72	-5.09057	-7.90027	-0.790359
6.73	-5.08807	-7.89575	-0.790402
6.74	-5.08567	-7.89166	-0.790451
6.75	-5.08337	-7.88801	-0.79051
6.76	-5.08118	-7.88481	-0.79058
6.77	-5.07909	-7.88205	-0.790666
6.78	-5.07712	-7.87975	-0.790769
6.79	-5.07526	-7.8779	-0.790892
6.8	-5.0735	-7.87651	-0.791038
6.81	-5.07187	-7.87557	-0.791208
6.82	-5.07035	-7.87509	-0.791406
6.83	-5.06895	-7.87506	-0.791633
6.84	-5.06768	-7.87546	-0.79189
6.85	-5.06652	-7.87631	-0.792181
6.86	-5.06549	-7.87759	-0.792505
6.87	-5.06459	-7.87928	-0.792864
6.88	-5.06382	-7.88139	-0.79326
6.89	-5.06319	-7.8839	-0.793692
6.9	-5.06268	-7.8868	-0.794161
6.91	-5.06231	-7.89007	-0.794668
6.92	-5.06208	-7.89371	-0.795211
6.93	-5.06199	-7.89769	-0.795791
6.94	-5.06204	-7.902	-0.796407
6.95	-5.06223	-7.90662	-0.797058
6.96	-5.06257	-7.91154	-0.797744
6.97	-5.06305	-7.91673	-0.798462
6.98	-5.06368	-7.92219	-0.799212
6.99	-5.06446	-7.92788	-0.799992
7	-5.06538	-7.9338	-0.8008
7.01	-5.06646	-7.93991	-0.801635
7.02	-5.0677	-7.9462	-0.802494
7.03	-5.06908	-7.95264	-0.803376
7.04	-5.07062	-7.95923	-0.804278
7.05	-5.07231	-7.96593	-0.8052
7.06	-5.07416	-7.97272	-0.806138
7.07	-5.07616	-7.97958	-0.807091
7.08	-5.07832	-7.9865	-0.808056
7.09	-5.08064	-7.99344	-0.809032
7.1	-5.08311	-8.00039	-0.810017
7.11	-5.08574	-8.00733	-0.811009
7.12	-5.08852	-8.01423	-0.812005
7.13	-5.09146	-8.02109	-0.813005
7.14	-5.09456	-8.02786	-0.814006
7.15	-5.09781	-8.03455	-0.815006
7.16	-5.10121	-8.04112	-0.816005
7.17	-5.10477	-8.04757	-0.816999
7.18	-5.10848	-8.05386	-0.817988
7.19	-5.11234	-8.05999	-0.818969
7.2	-5.11635	-8.06594	-0.819942
7.21	-5.12051	-8.07169	-0.820904
7.22	-5.12482	-8.07724	-0.821855
7.23	-5.12927	-8.08255	-0.822792
7.24	-5.13387	-8.08763	-0.823714
7.25	-5.13861	-8.09245	-0.824621
7.26	-5.14349	-8.09702	-0.825509
7.27	-5.1485	-8.10131	-0.826379
7.28	-5.15366	-8.10532	-0.827228
7.29	-5.15895	-8.10904	-0.828056
7.3	-5.16437	-8.11246	-0.828862
7.31	-5.16992	-8.11558	-0.829643
7.32	-5.1756	-8.11839	-0.8304
7.33	-5.1814	-8.12088	-0.831131
7.34	-5.18733	-8.12305	-0.831835
7.35	-5.19337	-8.12491	-0.832511
7.36	-5.19953	-8.12644	-0.833159
7.37	-5.2058	-8.12765	-0.833777
7.38	-5.21218	-8.12854	-0.834366
7.39	-5.21867	-8.1291	-0.834923
7.4	-5.22527	-8.12935	-0.83545
7.41	-5.23196	-8.12929	-0.835944
7.42	-5.23875	-8.12891	-0.836407
7.43	-5.24564	-8.12823	-0.836837
7.44	-5.25262	-8.12725	-0.837234
7.45	-5.25968	-8.12598	-0.837598
7.46	-5.26684	-8.12442	-0.83793
7.47	-5.27407	-8.12259	-0.838228
7.48	-5.28138	-8.12049	-0.838494
7.49	-5.28876	-8.11813	-0.838727
7.5	-5.29621	-8.11552	-0.838928
7.51	-5.30373	-8.11269	-0.839098
7.52	-5.31132	-8.10962	-0.839236
7.53	-5.31896	-8.10635	-0.839344
7.54	-5.32666	-8.10287	-0.839423
7.55	-5.33441	-8.09922	-0.839472
7.56	-5.34221	-8.09539	-0.839495
7.57	-5.35006	-8.0914	-0.83949
7.58	-5.35794	-8.08727	-0.839461
7.59	-5.36587	-8.08301	-0.839408
7.6	-5.37383	-8.07863	-0.839332
7.61	-5.38182	-8.07416	-0.839235
7.62	-5.38984	-8.0696	-0.839118
7.63	-5.39789	-8.06497	-0.838984
7.64	-5.40595	-8.06029	-0.838834
7.65	-5.41403	-8.05558	-0.838669
7.66	-5.42213	-8.05083	-0.838491
7.67	-5.43023	-8.04608	-0.838301
7.68	-5.43834	-8.04134	-0.838102
7.69	-5.44646	-8.03662	-0.837895
7.7	-5.45457	-8.03193	-0.837681
7.71	-5.46268	-8.02729	-0.837461
7.72	-5.47079	-8.02272	-0.837237
7.73	-5.47888	-8.01822	-0.837011
7.74	-5.48696	-8.01381	-0.836783
7.75	-5.49503	-8.00951	-0.836553
7.76	-5.50307	-8.00532	-0.836324
7.77	-5.5111	-8.00125	-0.836095
7.78	-5.51909	-7.99733	-0.835867
7.79	-5.52706	-7.99355	-0.835641
7.8	-5.535	-7.98992	-0.835415
7.81	-5.5429	-7.98647	-0.835191
7.82	-5.55077	-7.98319	-0.834969
7.83	-5.55859	-7.9801	-0.834747
7.84	-5.56638	-7.97719	-0.834526
7.85	-5.57411	-7.97449	-0.834305
7.86	-5.5818	-7.97199	-0.834083
7.87	-5.58944	-7.9697	-0.83386
7.88	-5.59702	-7.96762	-0.833634
7.89	-5.60455	-7.96576	-0.833404
7.9	-5.61202	-7.96412	-0.83317
7.91	-5.61943	-7.96271	-0.832929
7.92	-5.62678	-7.96152	-0.832681
7.93	-5.63406	-7.96056	-0.832425
7.94	-5.64127	-7.95983	-0.832159
7.95	-5.64841	-7.95932	-0.831881
7.96	-5.65548	-7.95904	-0.831591
7.97	-5.66247	-7.95898	-0.831286
7.98	-5.66939	-7.95914	-0.830967
7.99	-5.67623	-7.95953	-0.83063
8	-5.68299	-7.96012	-0.830276
8.01	-5.68966	-7.96093	-0.829902
8.02	-5.69625	-7.96195	-0.829508
8.03	-5.70275	-7.96316	-0.829093
8.04	-5.70917	-7.96457	-0.828655
8.05	-5.71549	-7.96616	-0.828195
8.06	-5.72172	-7.96794	-0.827711
8.07	-5.72786	-7.96989	-0.827203
8.08	-5.7339	-7.972	-0.82667
8.09	-5.73985	-7.97427	-0.826112
8.1	-5.74569	-7.97669	-0.825529
8.11	-5.75144	-7.97925	-0.824922
8.12	-5.75708	-7.98193	-0.824289
8.13	-5.76262	-7.98474	-0.823633
8.14	-5.76806	-7.98765	-0.822953
8.15	-5.77338	-7.99066	-0.822249
8.16	-5.7786	-7.99377	-0.821524
8.17	-5.78371	-7.99695	-0.820777
8.18	-5.78871	-8.00019	-0.820009
8.19	-5.7936	-8.0035	-0.819223
8.2	-5.79837	-8.00684	-0.81842
8.21	-5.80303	-8.01023	-0.8176
8.22	-5.80758	-8.01363	-0.816765
8.23	-5.812	-8.01705	-0.815918
8.24	-5.81631	-8.02048	-0.815059
8.25	-5.8205	-8.02389	-0.81419
8.26	-5.82456	-8.02728	-0.813314
8.27	-5.82851	-8.03065	-0.812432
8.28	-5.83233	-8.03397	-0.811545
8.29	-5.83603	-8.03725	-0.810657
8.3	-5.83961	-8.04046	-0.809767
8.31	-5.84306	-8.04361	-0.808879
8.32	-5.84638	-8.04668	-0.807995
8.33	-5.84958	-8.04966	-0.807115
8.34	-5.85264	-8.05255	-0.806241
8.35	-5.85558	-8.05534	-0.805376
8.36	-5.85839	-8.05801	-0.804521
8.37	-5.86106	-8.06057	-0.803678
8.38	-5.86361	-8.063	-0.802847
8.39	-5.86602	-8.0653	-0.802031
8.4	-5.8683	-8.06747	-0.801231
8.41	-5.87045	-8.06949	-0.800449
8.42	-5.87246	-8.07137	-0.799684
8.43	-5.87434	-8.07309	-0.79894
8.44	-5.87608	-8.07466	-0.798217
8.45	-5.87768	-8.07608	-0.797515
8.46	-5.87915	-8.07733	-0.796837
8.47	-5.88049	-8.07841	-0.796182
8.48	-5.88168	-8.07933	-0.795552
8.49	-5.88274	-8.08009	-0.794948
8.5	-5.88365	-8.08068	-0.794369
8.51	-5.88443	-8.0811	-0.793818
8.52	-5.88508	-8.08135	-0.793294
8.53	-5.88558	-8.08144	-0.792797
8.54	-5.88594	-8.08136	-0.792329
8.55	-5.88616	-8.08112	-0.79189
8.56	-5.88625	-8.08072	-0.791479
8.57	-5.88619	-8.08015	-0.791098
8.58	-5.886	-8.07944	-0.790745
8.59	-5.88566	-8.07857	-0.790422
8.6	-5.88519	-8.07756	-0.790128
8.61	-5.88457	-8.0764	-0.789864
8.62	-5.88382	-8.0751	-0.789628
8.63	-5.88292	-8.07367	-0.789422
8.64	-5.88189	-8.07211	-0.789244
8.65	-5.88072	-8.07044	-0.789095
8.66	-5.87941	-8.06864	-0.788974
8.67	-5.87796	-8.06674	-0.788881
8.68	-5.87638	-8.06473	-0.788816
8.69	-5.87466	-8.06263	-0.788777
8.7	-5.8728	-8.06045	-0.788765
8.71	-5.8708	-8.05818	-0.788779
8.72	-5.86867	-8.05584	-0.788819
8.73	-5.86641	-8.05343	-0.788883
8.74	-5.86401	-8.05096	-0.788972
8.75	-5.86148	-8.04845	-0.789084
8.76	-5.85881	-8.04589	-0.789219
8.77	-5.85602	-8.0433	-0.789376
8.78	-5.85309	-8.04069	-0.789554
8.79	-5.85003	-8.03805	-0.789753
8.8	-5.84685	-8.03541	-0.789971
8.81	-5.84354	-8.03277	-0.790209
8.82	-5.8401	-8.03012	-0.790464
8.83	-5.83654	-8.0275	-0.790736
8.84	-5.83285	-8.02489	-0.791025
8.85	-5.82905	-8.02231	-0.791329
8.86	-5.82512	-8.01977	-0.791647
8.87	-5.82107	-8.01727	-0.791978
8.88	-5.81691	-8.01482	-0.792323
8.89	-5.81263	-8.01243	-0.792679
8.9	-5.80823	-8.0101	-0.793046
8.91	-5.80372	-8.00783	-0.793423
8.92	-5.7991	-8.00564	-0.79381
8.93	-5.79438	-8.00353	-0.794205
8.94	-5.78954	-8.00151	-0.794608
8.95	-5.7846	-7.99957	-0.795018
8.96	-5.77956	-7.99773	-0.795434
8.97	-5.77441	-7.99599	-0.795857
8.98	-5.76917	-7.99435	-0.796286
8.99	-5.76383	-7.99281	-0.796719
9	-5.75839	-7.99138	-0.797157
9.01	-5.75286	-7.99007	-0.7976
9.02	-5.74725	-7.98887	-0.798046
9.03	-5.74154	-7.98778	-0.798496
9.04	-5.73575	-7.98682	-0.79895
9.05	-5.72987	-7.98597	-0.799408
9.06	-5.72392	-7.98524	-0.799869
9.07	-5.71789	-7.98463	-0.800333
9.08	-5.71178	-7.98414	-0.800801
9.09	-5.70559	-7.98377	-0.801272
9.1	-5.69934	-7.98352	-0.801747
9.11	-5.69302	-7.98339	-0.802225
9.12	-5.68664	-7.98338	-0.802707
9.13	-5.68019	-7.98348	-0.803193
9.14	-5.67369	-7.98369	-0.803683
9.15	-5.66712	-7.98402	-0.804177
9.16	-5.66051	-7.98446	-0.804676
9.17	-5.65384	-7.985	-0.805179
9.18	-5.64712	-7.98564	-0.805688
9.19	-5.64036	-7.98638	-0.806201
9.2	-5.63356	-7.98722	-0.806719
9.21	-5.62671	-7.98815	-0.807243
9.22	-5.61983	-7.98916	-0.807772
9.23	-5.61292	-7.99026	-0.808306
9.24	-5.60597	-7.99143	-0.808846
9.25	-5.599	-7.99268	-0.809392
9.26	-5.59201	-7.994	-0.809942
9.27	-5.58499	-7.99538	-0.810499
9.28	-5.57795	-7.99682	-0.81106
9.29	-5.5709	-7.99831	-0.811627
9.3	-5.56383	-7.99985	-0.812199
9.31	-5.55675	-8.00143	-0.812775
9.32	-5.54967	-8.00305	-0.813355
9.33	-5.54258	-8.00469	-0.81394
9.34	-5.53549	-8.00636	-0.814528
9.35	-5.5284	-8.00806	-0.815119
9.36	-5.52132	-8.00976	-0.815713
9.37	-5.51424	-8.01148	-0.816309
9.38	-5.50718	-8.01319	-0.816906
9.39	-5.50012	-8.0149	-0.817504
9.4	-5.49309	-8.01661	-0.818102
9.41	-5.48607	-8.0183	-0.818699
9.42	-5.47907	-8.01998	-0.819296
9.43	-5.4721	-8.02162	-0.81989
9.44	-5.46515	-8.02325	-0.820482
9.45	-5.45824	-8.02483	-0.82107
9.46	-5.45135	-8.02638	-0.821653
9.47	-5.4445	-8.02789	-0.822232
9.48	-5.43769	-8.02935	-0.822805
9.49	-5.43091	-8.03076	-0.823371
9.5	-5.42418	-8.03212	-0.82393
9.51	-5.41749	-8.03342	-0.824481
9.52	-5.41085	-8.03466	-0.825023
9.53	-5.40426	-8.03583	-0.825555
9.54	-5.39772	-8.03693	-0.826078
9.55	-5.39123	-8.03797	-0.826589
9.56	-5.3848	-8.03893	-0.827089
9.57	-5.37843	-8.03982	-0.827578
9.58	-5.37212	-8.04063	-0.828053
9.59	-5.36587	-8.04137	-0.828516
9.6	-5.35969	-8.04202	-0.828965
9.61	-5.35357	-8.0426	-0.8294
9.62	-5.34752	-8.04309	-0.829821
9.63	-5.34154	-8.0435	-0.830227
9.64	-5.33563	-8.04383	-0.830619
9.65	-5.32979	-8.04408	-0.830994
9.66	-5.32404	-8.04424	-0.831354
9.67	-5.31835	-8.04433	-0.831699
9.68	-5.31275	-8.04433	-0.832027
9.69	-5.30723	-8.04426	-0.832339
9.7	-5.30178	-8.0441	-0.832634
9.71	-5.29643	-8.04387	-0.832913
9.72	-5.29115	-8.04357	-0.833175
9.73	-5.28597	-8.04319	-0.833421
9.74	-5.28087	-8.04274	-0.833649
9.75	-5.27585	-8.04222	-0.833861
9.76	-5.27093	-8.04164	-0.834055
9.77	-5.2661	-8.04099	-0.834233
9.78	-5.26136	-8.04028	-0.834393
9.79	-5.25672	-8.03951	-0.834537
9.8	-5.25217	-8.03869	-0.834663
9.81	-5.24771	-8.03782	-0.834773
9.82	-5.24335	-8.0369	-0.834865
9.83	-5.23909	-8.03593	-0.83494
9.84	-5.23493	-8.03493	-0.834998
9.85	-5.23086	-8.03388	-0.83504
9.86	-5.2269	-8.03281	-0.835064
9.87	-5.22303	-8.0317	-0.835071
9.88	-5.21927	-8.03057	-0.835062
9.89	-5.21561	-8.02942	-0.835035
9.9	-5.21205	-8.02826	-0.834992
9.91	-5.20859	-8.02707	-0.834932
9.92	-5.20524	-8.02588	-0.834855
9.93	-5.20199	-8.02469	-0.834761
9.94	-5.19884	-8.02349	-0.834651
9.95	-5.1958	-8.0223	-0.834524
9.96	-5.19287	-8.02111	-0.834381
9.97	-5.19004	-8.01993	-0.834221
9.98	-5.18731	-8.01877	-0.834044
9.99	-5.1847	-8.01763	-0.833852
10	-5.18219	-8.0165	-0.833643
10.01	-5.17978	-8.0154	-0.833418
10.02	-5.17749	-8.01433	-0.833178
10.03	-5.1753	-8.0133	-0.832921
10.04	-5.17322	-8.01229	-0.832649
10.05	-5.17124	-8.01133	-0.832362
10.06	-5.16938	-8.0104	-0.832059
10.07	-5.16762	-8.00952	-0.831741
10.08	-5.16597	-8.00868	-0.831409
10.09	-5.16443	-8.00789	-0.831062
10.1	-5.16299	-8.00716	-0.830701
10.11	-5.16167	-8.00647	-0.830326
10.12	-5.16045	-8.00584	-0.829937
10.13	-5.15934	-8.00527	-0.829535
10.14	-5.15834	-8.00475	-0.829119
10.15	-5.15744	-8.00429	-0.828691
10.16	-5.15666	-8.00389	-0.828251
10.17	-5.15598	-8.00356	-0.827798
10.18	-5.1554	-8.00328	-0.827334
10.19	-5.15494	-8.00307	-0.826859
10.2	-5.15458	-8.00292	-0.826373
10.21	-5.15433	-8.00283	-0.825876
10.22	-5.15419	-8.0028	-0.82537
10.23	-5.15415	-8.00284	-0.824854
10.24	-5.15422	-8.00294	-0.824328
10.25	-5.1544	-8.0031	-0.823794
10.26	-5.15468	-8.00332	-0.823251
10.27	-5.15506	-8.00359	-0.822701
10.28	-5.15555	-8.00393	-0.822143
10.29	-5.15615	-8.00433	-0.821578
10.3	-5.15685	-8.00478	-0.821006
10.31	-5.15765	-8.00528	-0.820429
10.32	-5.15856	-8.00584	-0.819846
10.33	-5.15957	-8.00645	-0.819258
10.34	-5.16068	-8.0071	-0.818665
10.35	-5.1619	-8.00781	-0.818068
10.36	-5.16322	-8.00855	-0.817467
10.37	-5.16464	-8.00934	-0.816863
10.38	-5.16615	-8.01017	-0.816256
10.39	-5.16777	-8.01103	-0.815648
10.4	-5.16949	-8.01193	-0.815037
10.41	-5.17131	-8.01286	-0.814426
10.42	-5.17323	-8.01382	-0.813814
10.43	-5.17524	-8.0148	-0.813202
10.44	-5.17735	-8.01581	-0.81259
10.45	-5.17956	-8.01683	-0.81198
10.46	-5.18186	-8.01787	-0.811371
10.47	-5.18426	-8.01893	-0.810765
10.48	-5.18675	-8.02	-0.810161
10.49	-5.18934	-8.02107	-0.80956
10.5	-5.19202	-8.02215	-0.808964
10.51	-5.19479	-8.02323	-0.808372
10.52	-5.19765	-8.02431	-0.807785
10.53	-5.2006	-8.02539	-0.807204
10.54	-5.20364	-8.02646	-0.806629
10.55	-5.20677	-8.02752	-0.806061
10.56	-5.20999	-8.02857	-0.805501
10.57	-5.21329	-8.0296	-0.804949
10.58	-5.21668	-8.03061	-0.804406
10.59	-5.22015	-8.0316	-0.803872
10.6	-5.22371	-8.03257	-0.803348
10.61	-5.22735	-8.03352	-0.802834
10.62	-5.23107	-8.03444	-0.802332
10.63	-5.23487	-8.03532	-0.801841
10.64	-5.23875	-8.03618	-0.801362
10.65	-5.24271	-8.037	-0.800897
10.66	-5.24674	-8.03779	-0.800444
10.67	-5.25085	-8.03854	-0.800006
10.68	-5.25504	-8.03925	-0.799582
10.69	-5.2593	-8.03992	-0.799172
10.7	-5.26362	-8.04055	-0.798778
10.71	-5.26802	-8.04114	-0.798399
10.72	-5.27249	-8.04168	-0.798037
10.73	-5.27703	-8.04218	-0.797691
10.74	-5.28163	-8.04263	-0.797361
10.75	-5.28629	-8.04304	-0.797049
10.76	-5.29102	-8.0434	-0.796753
10.77	-5.29581	-8.04371	-0.796476
10.78	-5.30066	-8.04398	-0.796216
10.79	-5.30557	-8.0442	-0.795974
10.8	-5.31054	-8.04437	-0.79575
10.81	-5.31556	-8.0445	-0.795544
10.82	-5.32064	-8.04458	-0.795356
10.83	-5.32577	-8.04461	-0.795187
10.84	-5.33094	-8.0446	-0.795036
10.85	-5.33617	-8.04454	-0.794903
10.86	-5.34145	-8.04445	-0.794789
10.87	-5.34677	-8.04431	-0.794693
10.88	-5.35213	-8.04412	-0.794614
10.89	-5.35754	-8.0439	-0.794554
10.9	-5.36298	-8.04364	-0.794511
10.91	-5.36847	-8.04334	-0.794486
10.92	-5.37399	-8.04301	-0.794478
10.93	-5.37955	-8.04264	-0.794488
10.94	-5.38514	-8.04224	-0.794514
10.95	-5.39076	-8.0418	-0.794557
10.96	-5.39641	-8.04134	-0.794616
10.97	-5.40208	-8.04085	-0.794691
10.98	-5.40778	-8.04034	-0.794782
10.99	-5.41351	-8.0398	-0.794888
11	-5.41926	-8.03924	-0.79501
11.01	-5.42502	-8.03866	-0.795146
11.02	-5.43081	-8.03807	-0.795296
11.03	-5.43661	-8.03746	-0.795461
11.04	-5.44242	-8.03683	-0.795639
11.05	-5.44825	-8.0362	-0.79583
11.06	-5.45408	-8.03555	-0.796035
11.07	-5.45992	-8.0349	-0.796251
11.08	-5.46577	-8.03425	-0.796481
11.09	-5.47163	-8.03359	-0.796722
11.1	-5.47748	-8.03293	-0.796974
11.11	-5.48334	-8.03227	-0.797238
11.12	-5.48919	-8.03162	-0.797512
11.13	-5.49504	-8.03097	-0.797797
11.14	-5.50088	-8.03033	-0.798092
11.15	-5.50671	-8.0297	-0.798396
11.16	-5.51253	-8.02908	-0.79871
11.17	-5.51835	-8.02847	-0.799033
11.18	-5.52414	-8.02788	-0.799365
11.19	-5.52992	-8.0273	-0.799706
11.2	-5.53569	-8.02674	-0.800054
11.21	-5.54143	-8.0262	-0.80041
11.22	-5.54715	-8.02568	-0.800774
11.23	-5.55285	-8.02518	-0.801146
11.24	-5.55852	-8.0247	-0.801524
11.25	-5.56416	-8.02425	-0.801908
11.26	-5.56977	-8.02382	-0.8023
11.27	-5.57536	-8.02342	-0.802697
11.28	-5.5809	-8.02305	-0.8031
11.29	-5.58642	-8.0227	-0.803509
11.3	-5.59189	-8.02238	-0.803923
11.31	-5.59733	-8.02209	-0.804342
11.32	-5.60272	-8.02183	-0.804766
11.33	-5.60808	-8.02159	-0.805195
11.34	-5.61338	-8.02139	-0.805628
11.35	-5.61864	-8.02122	-0.806065
11.36	-5.62386	-8.02107	-0.806506
11.37	-5.62902	-8.02095	-0.80695
11.38	-5.63413	-8.02087	-0.807398
11.39	-5.63919	-8.02081	-0.807849
11.4	-5.64419	-8.02078	-0.808303
11.41	-5.64914	-8.02078	-0.80876
11.42	-5.65403	-8.02081	-0.809219
11.43	-5.65886	-8.02086	-0.80968
11.44	-5.66363	-8.02094	-0.810143
11.45	-5.66833	-8.02105	-0.810608
11.46	-5.67297	-8.02118	-0.811074
11.47	-5.67754	-8.02133	-0.811542
11.48	-5.68205	-8.02151	-0.81201
11.49	-5.68649	-8.02171	-0.81248
11.5	-5.69085	-8.02192	-0.812949
11.51	-5.69515	-8.02216	-0.81342
11.52	-5.69937	-8.02242	-0.81389
11.53	-5.70352	-8.02269	-0.81436
11.54	-5.70759	-8.02298	-0.81483
11.55	-5.71158	-8.02328	-0.815299
11.56	-5.7155	-8.0236	-0.815767
11.57	-5.71934	-8.02392	-0.816234
11.58	-5.72309	-8.02426	-0.816699
11.59	-5.72677	-8.0246	-0.817163
11.6	-5.73036	-8.02496	-0.817625
11.61	-5.73386	-8.02531	-0.818085
11.62	-5.73729	-8.02567	-0.818542
11.63	-5.74062	-8.02604	-0.818996
11.64	-5.74387	-8.0264	-0.819448
11.65	-5.74703	-8.02677	-0.819896
11.66	-5.7501	-8.02713	-0.82034
11.67	-5.75308	-8.02749	-0.820781
11.68	-5.75597	-8.02785	-0.821217
11.69	-5.75877	-8.02819	-0.821648
11.7	-5.76148	-8.02854	-0.822075
11.71	-5.76409	-8.02887	-0.822497
11.72	-5.76661	-8.02919	-0.822912
11.73	-5.76903	-8.0295	-0.823323
11.74	-5.77136	-8.0298	-0.823726
11.75	-5.77359	-8.03009	-0.824124
11.76	-5.77573	-8.03036	-0.824514
11.77	-5.77777	-8.03062	-0.824897
11.78	-5.77971	-8.03086	-0.825272
11.79	-5.78156	-8.03108	-0.825639
11.8	-5.7833	-8.03128	-0.825998
11.81	-5.78495	-8.03147	-0.826348
11.82	-5.78649	-8.03163	-0.826689
11.83	-5.78794	-8.03178	-0.827021
11.84	-5.78929	-8.0319	-0.827342
11.85	-5.79054	-8.032	-0.827654
11.86	-5.79168	-8.03208	-0.827954
11.87	-5.79273	-8.03214	-0.828244
11.88	-5.79367	-8.03217	-0.828522
11.89	-5.79452	-8.03219	-0.828789
11.9	-5.79526	-8.03218	-0.829043
11.91	-5.7959	-8.03214	-0.829285
11.92	-5.79644	-8.03209	-0.829515
11.93	-5.79688	-8.03201	-0.829731
11.94	-5.79722	-8.03191	-0.829934
11.95	-5.79746	-8.03178	-0.830123
11.96	-5.7976	-8.03163	-0.830298
11.97	-5.79763	-8.03147	-0.830458
11.98	-5.79757	-8.03127	-0.830604
11.99	-5.7974	-8.03106	-0.830736
12	-5.79714	-8.03083	-0.830852
12.01	-5.79678	-8.03058	-0.830953
12.02	-5.79631	-8.03031	-0.831039
12.03	-5.79575	-8.03002	-0.831109
12.04	-5.79509	-8.02971	-0.831163
12.05	-5.79432	-8.02938	-0.831201
12.06	-5.79347	-8.02904	-0.831223
12.07	-5.79251	-8.02869	-0.831229
12.08	-5.79146	-8.02832	-0.831219
12.09	-5.79031	-8.02793	-0.831193
12.1	-5.78906	-8.02753	-0.831151
12.11	-5.78772	-8.02712	-0.831092
12.12	-5.78629	-8.02671	-0.831017
12.13	-5.78476	-8.02628	-0.830926
12.14	-5.78314	-8.02584	-0.830819
12.15	-5.78142	-8.0254	-0.830695
12.16	-5.77962	-8.02494	-0.830556
12.17	-5.77772	-8.02449	-0.830401
12.18	-5.77573	-8.02403	-0.830231
12.19	-5.77366	-8.02357	-0.830045
12.2	-5.77149	-8.02311	-0.829844
12.21	-5.76924	-8.02264	-0.829628
12.22	-5.7669	-8.02218	-0.829397
12.23	-5.76448	-8.02172	-0.829152
12.24	-5.76197	-8.02126	-0.828893
12.25	-5.75938	-8.02081	-0.82862
12.26	-5.75671	-8.02036	-0.828333
12.27	-5.75395	-8.01991	-0.828034
12.28	-5.75112	-8.01948	-0.827721
12.29	-5.7482	-8.01905	-0.827396
12.3	-5.74521	-8.01863	-0.82706
12.31	-5.74214	-8.01822	-0.826711
12.32	-5.73899	-8.01783	-0.826351
12.33	-5.73577	-8.01744	-0.825981
12.34	-5.73248	-8.01707	-0.8256
12.35	-5.72911	-8.01671	-0.82521
12.36	-5.72568	-8.01636	-0.82481
12.37	-5.72217	-8.01603	-0.824401
12.38	-5.7186	-8.01571	-0.823984
12.39	-5.71496	-8.01542	-0.823559
12.4	-5.71125	-8.01513	-0.823126
12.41	-5.70748	-8.01487	-0.822686
12.42	-5.70365	-8.01462	-0.82224
12.43	-5.69976	-8.01439	-0.821788
12.44	-5.69581	-8.01417	-0.821331
12.45	-5.6918	-8.01398	-0.820868
12.46	-5.68773	-8.01381	-0.820402
12.47	-5.68361	-8.01365	-0.819931
12.48	-5.67943	-8.01351	-0.819456
12.49	-5.6752	-8.01339	-0.818979
12.5	-5.67092	-8.01329	-0.8185
12.51	-5.66659	-8.01321	-0.818018
12.52	-5.66222	-8.01315	-0.817535
12.53	-5.6578	-8.01311	-0.817051
12.54	-5.65333	-8.01308	-0.816566
12.55	-5.64882	-8.01308	-0.816082
12.56	-5.64427	-8.01309	-0.815598
12.57	-5.63968	-8.01312	-0.815114
12.58	-5.63506	-8.01317	-0.814632
12.59	-5.63039	-8.01323	-0.814152
12.6	-5.62569	-8.01332	-0.813674
12.61	-5.62096	-8.01341	-0.813199
12.62	-5.6162	-8.01353	-0.812727
12.63	-5.61141	-8.01365	-0.812258
12.64	-5.60659	-8.01379	-0.811793
12.65	-5.60174	-8.01395	-0.811332
12.66	-5.59687	-8.01412	-0.810876
12.67	-5.59197	-8.0143	-0.810424
12.68	-5.58706	-8.01449	-0.809979
12.69	-5.58212	-8.0147	-0.809538
12.7	-5.57717	-8.01491	-0.809104
12.71	-5.5722	-8.01514	-0.808676
12.72	-5.56721	-8.01537	-0.808254
